en,hinglish,label,hinglish_clean,label_encoded
Batman vs Superman,batman vs superman,neutral,batman vs superman,1
"The director is Zack Snyder , 27 % Rotten Tomatoes , 4.9 / 10 .","Zack Snyder director हैं , 27 % Rotten Tomatoes , 4.9 / 10 .",neutral,zack snyder director हैं rotten tomatoes,1
Not very popular it seems,लगता है बहुत popular नहीं है,negative,लगता है बहुत popular नहीं है,0
But the audiences liked it . It has a B cinema score,"but audience ने like किया , इसका cinema score भी है",positive,but audience ने like किया इसका cinema score भी है,2
Yes,yes,neutral,yes,1
There is a huge divergence between proffession al critical opinion and regular movie goers,huge divergence है profession critic की opinion और रुगलर movie देखने वालों के बीच,positive,huge divergence है profession critic की opinion और रुगलर movie देखने वालों के बीच,2
I've never seen it,मैंने तो कभी नहीं देखा है .,neutral,मैंने तो कभी नहीं देखा है,1
I know the difference .,मुझे difference पाता है,neutral,मुझे difference पाता है,1
I can't believe they used Ben Affleck as Batman,मुझे तो believe ही नहीं होता कि उन्होंने Ben Affleck को Bataman बनाया .,neutral,मुझे तो believe ही नहीं होता कि उन्होंने ben affleck को bataman बनाया,1
"So it probably won't get any awards , but should have done well enough at the box office","So Probably इसको कोई award नहीं मिला , but box office पर इसको बधिया करना था",neutral,so probably इसको कोई award नहीं मिला but box office पर इसको बधिया करना था,1
It was a strange choice,बहुत strange choice थी यह .,neutral,बहुत strange choice थी यह,1
Well it was made in 2016,हाँ तो यह 2016 में आया,neutral,हाँ तो यह में आया,1
I'm just guessing as to what it may have accomplished back then,मैं guess करता हूँ कि अगर ये accomplished फिर से हवा तो,neutral,मैं guess करता हूँ कि अगर ये accomplished फिर से हवा तो,1
Probably nothing with those scores,probably ऐसे कुछ scores अब तक नहीं आया,neutral,probably ऐसे कुछ scores अब तक नहीं आया,1
The box office gross is more important than critics acceptance for these blockbuster type movies,Box office में तो इसका इतना important हवा की सभी critics को accept किया और blockbuster type का movies बनाया,positive,box office में तो इसका इतना important हवा की सभी critics को accept किया और blockbuster type का movies बनाया,2
I don't like how they made a whole new story line .,मुझे उस new story line को बिल्कुल पसंद नहीं आया,positive,मुझे उस new story line को बिल्कुल पसंद नहीं आया,2
They ruined it for me,वह तो इतना ruined हो गया,neutral,वह तो इतना ruined हो गया,1
although critics can affect word of mouth to an extent,critics तो इतना बेकार निकला,neutral,critics तो इतना बेकार निकला,1
Batman as a billionaire,batman तो billionaire हो गया,neutral,batman तो billionaire हो गया,1
yeah right !,हाँ यार,positive,हाँ यार,2
Isn't that what he always was ?,क्या वह हमेशा ऐसे ही हैं ?,neutral,क्या वह हमेशा ऐसे ही हैं,1
But they make it the main focus .,But वह इस में focus बनाते हैं .,positive,but वह इस में focus बनाते हैं,2
"Batman I know , was humble","Batman मुझे पता है , humble था",negative,batman मुझे पता है humble था,0
The lack of intellectual development for the main characters was my problem . Especially concerning Lex Luthor,मैं characters के लिए intellectual development मेरे लिए problem थी . Khaaskar Lex Luthor से संबंधित,positive,मैं characters के लिए intellectual development मेरे लिए problem थी khaaskar lex luthor से संबंधित,2
Have you seen this movie ?,क्या तुमने यह movie देखी है ?,neutral,क्या तुमने यह movie देखी है,1
Yes I have,हाँ मैंने देखी,neutral,हाँ मैंने देखी,1
What was your favorite part ?,तुम्हारे favourite part क्या है ?,positive,तुम्हारे favourite part क्या है,2
Lex L uthor was the worse villain ever,Lex Luthor सबसे बुरा villain था,negative,lex luthor सबसे बुरा villain था,0
You think ?,तुमने सोचा ?,neutral,तुमने सोचा,1
"This wasn't a memorable movie . It got me through a bucket of popcorn at the moment I was watching , but you forget about it soon after","वह एक यादगार movie नहीं थी . जब मैं इसी देख रहा था तब मुझे popcorn की bucket लेने का खयाल आया , but तुम जल्दी ही भूल जाओगे बाद में",positive,वह एक यादगार movie नहीं थी जब मैं इसी देख रहा था तब मुझे popcorn की bucket लेने का खयाल आया but तुम जल्दी ही भूल जाओगे बाद में,2
hahaha,hahaha,positive,hahaha,2
Did people know that they were super heroes ?,क्या लोगों को पता था that they were super heroes ?,positive,क्या लोगों को पता था that they were super heroes,2
The best part was Wonder Woman action scenes in the final act,Wonder Woman action scenes final act में best part था,positive,wonder woman action scenes final act में best part था,2
I love Wonder Woman,में Wonder Woman को love करता हूँ,positive,में wonder woman को love करता हूँ,2
Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies,Wonder Woman उसके लिए सही नाम है cause I always wonder why they took so long to get her into the movies,positive,wonder woman उसके लिए सही नाम है cause i always wonder why they took so long to get her into the movies,2
haha,haha,positive,haha,2
I agree ! ! !,I agree ! ! !,neutral,i agree,1
I love a good superhero movie ! Iron Man is a good one .,मुझे good superhero movie अछि लगती है ! Iron Man अछि movie है,positive,मुझे good superhero movie अछि लगती है iron man अछि movie है,2
hello,hello,neutral,hello,1
have you seen the mmovie ?,क्या तुमने move देखी है ?,neutral,क्या तुमने move देखी है,1
Hi !,है !,neutral,है,1
I saw it many years ago,मैंने काफी years पहले देखी,positive,मैंने काफी years पहले देखी,2
"Yes , same !","हां , same !",neutral,हां same,1
And just recently as well . I really do enjoy Robert Downey Jr as Iron Man .,और अभी recent में . में Robert Downey जार को एस Iron Man काफी enjoy करता हूं .,positive,और अभी recent में में robert downey जार को एस iron man काफी enjoy करता हूं,2
I can't believe it has been 10 years since it came out . That's crazy .,मुझे believe नहीं होता कि इसे आये हुए 10 साल हो गए . That's crazy .,negative,मुझे believe नहीं होता कि इसे आये हुए साल हो गए thats crazy,0
"I know , it feels like cou ple years","मुझे पता है , लगता है couple years ही हुए हैं",neutral,मुझे पता है लगता है couple years ही हुए हैं,1
I like Robert Downey too,मुझे भी Robert Downey अच्छा लगता है,neutral,मुझे भी robert downey अच्छा लगता है,1
Time flies . Haha .,Time fly हो जाता है . haha,positive,time fly हो जाता है haha,2
Would you watch it again ?,क्या तुम इसे दोबारा देखोगे ?,neutral,क्या तुम इसे दोबारा देखोगे,1
Definitely !,Definitely !,neutral,definitely,1
Did you see it on the big screen the first time ?,क्या तुमने पहली बार इसको big screen पर देखा था ?,positive,क्या तुमने पहली बार इसको big screen पर देखा था,2
I normally do agree with Rotten Tomatoes scores . A 94 for this movie is pretty good .,मैं Rotten Tomatoes scores से normally agree करता हूँ . इस movie के लिए 94 काफी good था .,positive,मैं rotten tomatoes scores से normally agree करता हूँ इस movie के लिए काफी good था,2
I saw it on DVD but still was fun,मैंने इसे DVD पर देखा पर still यह मजेदार था,positive,मैंने इसे dvd पर देखा पर still यह मजेदार था,2
Honestly ... not sure ! Ha !,Honestly ... confirm नहीं है ! है !,positive,honestly confirm नहीं है है,2
"I don't totally trust critics , they give biased reviews","मैं critics पर पूरी तरह भरोसा नहीं करता , वह biased reviews देते हैं",neutral,मैं critics पर पूरी तरह भरोसा नहीं करता वह biased reviews देते हैं,1
Wasn't there a sequel to this movie ?,क्या इस movie का sequel नहीं था ?,neutral,क्या इस movie का sequel नहीं था,1
I don't totally trust them either . I never let reviews stop me from watching a film .,मैं पूरी तरह से उन पर भरोसा नहीं करता . मैंने कभी भी अपने आप को reviews के based पर movie देखने से नहीं रोका .,neutral,मैं पूरी तरह से उन पर भरोसा नहीं करता मैंने कभी भी अपने आप को reviews के based पर movie देखने से नहीं रोका,1
I think it is best to decide for yourself,मुझे लगता है कि अपने से decide करना सबसे अच्छा है,positive,मुझे लगता है कि अपने से decide करना सबसे अच्छा है,2
I usually watch a movie if I like the actors,मैं अक्सर वो movie देखता हूं जिस में मेरी पसंद के actors होते हैं,negative,मैं अक्सर वो movie देखता हूं जिस में मेरी पसंद के actors होते हैं,0
I believe there was an Iron man 2 and 3 !,मेरा मानना ​ ​ है कि Iron man 2 और 3 था !,neutral,मेरा मानना है कि iron man और था,1
I forgot that Jeff bridges was in this cast ! !,मैं भूल गया कि Jeff bridges इस cast में था ! !,neutral,मैं भूल गया कि jeff bridges इस cast में था,1
Likewise ! !,इसी तरह ! !,neutral,इसी तरह,1
