Batman vs Superman	batman vs superman 
The director is Zack Snyder , 27 % Rotten Tomatoes , 4.9 / 10 .	Zack Snyder director हैं , 27 % Rotten Tomatoes , 4.9 / 10 . 
Not very popular it seems	लगता है बहुत popular नहीं है 
But the audiences liked it . It has a B cinema score	but audience ने like किया , इसका cinema score भी है 
Yes	yes 
There is a huge divergence between proffession al critical opinion and regular movie goers	huge divergence है profession critic की opinion और रुगलर movie देखने वालों के बीच 
I've never seen it	मैंने तो कभी नहीं देखा है . 
I know the difference .	मुझे difference पाता है 
I can't believe they used Ben Affleck as Batman	मुझे तो believe ही नहीं होता कि उन्होंने Ben Affleck को Bataman बनाया . 
So it probably won't get any awards , but should have done well enough at the box office	So Probably इसको कोई award नहीं मिला , but box office पर इसको बधिया करना था 
It was a strange choice	बहुत strange choice थी यह . 
Well it was made in 2016	हाँ तो यह 2016 में आया 
I'm just guessing as to what it may have accomplished back then	मैं guess करता हूँ कि अगर ये accomplished फिर से हवा तो 
Probably nothing with those scores	probably ऐसे कुछ scores अब तक नहीं आया 
The box office gross is more important than critics acceptance for these blockbuster type movies	Box office में तो इसका इतना important हवा की सभी critics को accept किया और blockbuster type का movies बनाया 
I don't like how they made a whole new story line .	मुझे उस new story line को बिल्कुल पसंद नहीं आया 
They ruined it for me	वह तो इतना ruined हो गया 
although critics can affect word of mouth to an extent	critics तो इतना बेकार निकला 
Batman as a billionaire	batman तो billionaire हो गया 
yeah right !	हाँ यार 
Isn't that what he always was ?	क्या वह हमेशा ऐसे ही हैं ? 
But they make it the main focus .	But वह इस में focus बनाते हैं . 
Batman I know , was humble	Batman मुझे पता है , humble था 
The lack of intellectual development for the main characters was my problem . Especially concerning Lex Luthor	मैं characters के लिए intellectual development मेरे लिए problem थी . Khaaskar Lex Luthor से संबंधित 
Have you seen this movie ?	क्या तुमने यह movie देखी है ? 
Yes I have	हाँ मैंने देखी 
What was your favorite part ?	तुम्हारे favourite part क्या है ? 
Lex L uthor was the worse villain ever	Lex Luthor सबसे बुरा villain था 
You think ?	तुमने सोचा ? 
This wasn't a memorable movie . It got me through a bucket of popcorn at the moment I was watching , but you forget about it soon after	वह एक यादगार movie नहीं थी . जब मैं इसी देख रहा था तब मुझे popcorn की bucket लेने का खयाल आया , but तुम जल्दी ही भूल जाओगे बाद में 
hahaha	hahaha 
Did people know that they were super heroes ?	क्या लोगों को पता था that they were super heroes ? 
The best part was Wonder Woman action scenes in the final act	Wonder Woman action scenes final act में best part था 
I love Wonder Woman	में Wonder Woman को love करता हूँ 
Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies	Wonder Woman उसके लिए सही नाम है cause I always wonder why they took so long to get her into the movies 
haha	haha 
I agree ! ! !	I agree ! ! ! 
I love a good superhero movie ! Iron Man is a good one .	मुझे good superhero movie अछि लगती है ! Iron Man अछि movie है 
hello	hello 
have you seen the mmovie ?	क्या तुमने move देखी है ? 
Hi !	है ! 
I saw it many years ago	मैंने काफी years पहले देखी 
Yes , same !	हां , same ! 
And just recently as well . I really do enjoy Robert Downey Jr as Iron Man .	और अभी recent में . में Robert Downey जार को एस Iron Man काफी enjoy करता हूं . 
I can't believe it has been 10 years since it came out . That's crazy .	मुझे believe नहीं होता कि इसे आये हुए 10 साल हो गए . That's crazy . 
I know , it feels like cou ple years	मुझे पता है , लगता है couple years ही हुए हैं 
I like Robert Downey too	मुझे भी Robert Downey अच्छा लगता है 
Time flies . Haha .	Time fly हो जाता है . haha 
Would you watch it again ?	क्या तुम इसे दोबारा देखोगे ? 
Definitely !	Definitely ! 
Did you see it on the big screen the first time ?	क्या तुमने पहली बार इसको big screen पर देखा था ? 
I normally do agree with Rotten Tomatoes scores . A 94 for this movie is pretty good .	मैं Rotten Tomatoes scores से normally agree करता हूँ . इस movie के लिए 94 काफी good था . 
I saw it on DVD but still was fun	मैंने इसे DVD पर देखा पर still यह मजेदार था 
Honestly ... not sure ! Ha !	Honestly ... confirm नहीं है ! है ! 
I don't totally trust critics , they give biased reviews	मैं critics पर पूरी तरह भरोसा नहीं करता , वह biased reviews देते हैं 
Wasn't there a sequel to this movie ?	क्या इस movie का sequel नहीं था ? 
I don't totally trust them either . I never let reviews stop me from watching a film .	मैं पूरी तरह से उन पर भरोसा नहीं करता . मैंने कभी भी अपने आप को reviews के based पर movie देखने से नहीं रोका . 
I think it is best to decide for yourself	मुझे लगता है कि अपने से decide करना सबसे अच्छा है 
I usually watch a movie if I like the actors	मैं अक्सर वो movie देखता हूं जिस में मेरी पसंद के actors होते हैं 
I believe there was an Iron man 2 and 3 !	मेरा मानना ​ ​ है कि Iron man 2 और 3 था ! 
I forgot that Jeff bridges was in this cast ! !	मैं भूल गया कि Jeff bridges इस cast में था ! ! 
Likewise ! !	इसी तरह ! ! 
I really did like the end of this movie . Especially when Tony Stark reveals his identity as Iron Man .	मुझे वास्तव में इस movie का end पसंद आया . Khaasakar जब Tony Stark ने Iron Man के रूप में अपनी पहचान बताए . 
I don't remember details but the entire movie was enjoyable	मुझे कुछ याद नहीं हैं लेकिन पूरा movie तो enjoy कर रहा था 
As well as when Stark defeats Stane on top of his building .	तब shark तो स्टेन को defeat कर रहा था उस ऊपर वाली building से 
You'll have to watch it again and refresh your memory ! ! !	आप दूसरी बार इस movie को देखो और यादों को refresh करो 
I think I recall that	मैं भी कुछ ऐसे ही सोचता था 
Yes , I do need to watch it again	हाँ .. मैं ज़रूर देखूंगा 
maybe during spring break	spring का break में देख लूंगा 
Perfect ! You can follow up with the sequels . Haha	perfect ! आप sequels भी folk करो .. ha ha 
it's one of those movies you can just pick up and watch any time	यह इन movies में यक हैं , आप अभी ही pick up करो और कभी भी watch कर सकते हैं 
you don't really need to know the background	आप को तो यह background को पता ही नहीं 
Definitely ! Even for the sequels . Still enjoyable . Well , it's been nice chatting ! Enjoy the rest of your day .	Definitely ! मैं sequels भी देख लूँगा .. बहुत मजा आयेगा .. तो आपसे chat करने से अछे लगे ... rest of the day enjoy करो .. 
HI	नमस्ते 
HI	नमस्ते 
DID YOU SEE THIS FILM WONDER WOMAN	क्या आपने wonder woman film देखा है 
YES	हुआ 
DO U LIKE THIS FILM ?	क्या यह film आप को पसंद है ? 
S I LIKE THIS FILM	मुझे यह film पसंद है 
IT IS BASED ON DC COMISC . THE DISTRIBUTED BY WAMER BROS . PICTURES	यह dc comic पर आधारित है . वेमर bros pictures ने वितरित किया है 
YEAH IT IS A FAMOUS DC COMICS .	हां वो एक famous DC Comics है 
GOOD	अच्छा 
THIS IS German Army ( German Empire )	ये हैं German Army ( German Empire ) 
yes i know . The term Deutsches Heer is also used for the modern German Army , the land component of the Bundeswehr .	हाँ मैं जानता हूँ . यह term Deutsches हर modern German Army के लिए भी उसे हो हैं . Bundeswehr का land component 
S APART FROM THIS Jenkins's role as director makes her the first female director of a live-action , theatrically released comic book superhero film .	इसके अलावा Jenkin का role as a director use पहली women director बना देता है किसी भी live-action theatrically released comic book superhero film का 
ARE YOU LIKE THAT MOVIE	तुम्हें वो movie पसंद आई ? 
YES I LIKE THAT . AND ALSO I ENJOYED THIS MOVIE .	हाँ मुझे पसंद आई और मैंने इस movie को enjoy भी किया 
OH HOW MANY TIMES YOU SEE THIS MOVIE	Oh कितनी बार देख चुकी हूँ ये movie ? 
2 TIMES I WATCHED THIS MOVIE .	मैं यह movie 2 बार देख चुका हूँ 
ARE YOU LIKE THIS MOVIE DIRECTOR	तुम्हें movie की director पसंद आयी क्या ? 
ARE YOU FROM	आप कहाँ से हैं ? 
YEAH I LIKE THIS FILM DIRECTOR .	है मुझे यह film director पसंद है 
YEAH	है 
WHAT YEAH	क्या है 
ARE YOU FROM	आप कहाँ से है 
YES I AM HERE	है मैं यहाँ हूँ 
WHY DO LIKE THIS FILM ?	क्यों यह film पसंद है 
YES I LIKE THIS FILM	है मुझे ये movie पसंद है 
BUT IAM NOT SEE THIS MOVIE	लेकिन my यह movie नहीं देखा 
WHY DO DID NOT SEE THAT ? DO YOU KNOW THIS MOVIE IS REALLY GOOD	क्यूँ देख नहीं सकते हो ? तुम्हें पता है यह movie बहुत अछी है 
WHICH CHARECTER YOU LIKE THIS MOVIE	IS FILM में कौन सी भूमिका आप को अच्छा लगा 
I LIKE ALL THE CHARACTER IN THIS FILM	IS FILM मेमझे सब भूमिका अछी लगी 
OH REALLY	सच 
THAT NICE	बेहतर 
OK FINE	बहुत अच्छा 
Hey , have you seen The Avengers ? It's a pretty good movie , you should check it out if you like Robert Downey Jr .	है , क्या तुमने Avengers देखि ? The Avengers ? यह pretty good movie है , तुम्हें check करना चाहिए अगर तुम Robert Downey जोर , को like करते हो . 
YES , I KNOW AND ALSO I LIKE THE MOVIE	yes , मैं जानता हूँ and me यह movie like करता हूँ 
It's really great what Mark Ruffalo did as Bruce Banner / The Hulk , making him so calm yet ready to become a volcano don't you think ?	यह वास्तव में बहुत अच्छा है कि maark raphphaalo ने broos bainar / द हल्क के रूप में क्या किया , जिससे वह इतना शांत हो गया कि आप ज्वालामुखी बनाने के लिए तैयार नहीं हैं ? 
Yes , I think so	हां मुझे ऐसा लगता है 
I'm not always a big Joss Whedon fan , but he did a good job with the humor to spice up the team origin story . Were you surprised that it worked with so many characters ?	मैं हमेशा एक बड़ा Joss Whedon prashansak नहीं हूँ , लेकिन उन्होंने teem की मूल कहानी को मसाला देने के लिए हास्य के साथ अच्छा काम किया . क्या आप आश्चर्यचकित थी कि इसने कई पात्रों के साथ काम किया ? 
Strictly , this may be his main potential	सख्ती से , या उसके मुख्य क्षमता हो सकती है 
I would say Robert Downey Jr . is also playing to his potential here , with his sharp tongue and sophistication . Who was your favorite character ?	मैं कहूंगा कि Robert Downey जोर भी यहां अपनी क्षमता के साथ खेल रहे हैं , अपने तेज जीभ और परिष्कार के साथ . आपका पसंदीदा चरित्र कौन था ? 
Robert Downey is my favorite favorite CHARACTER	Robert Downey मेरे सबसे पसंदीदा पसंदीदा चरित्र है 
Did you think he made a good leadership figure of the Avengers or did anybody else stand out to you more that way ?	क्या आपको लगता है कि उन्होंने evenjars की अच्छी leadership की या किसी और ने आपको इस तरह से खड़ा किया ? 
No , he is right	नहीं , वह सही है 
That opening with the Tesseract escape was pretty cool , setting the tone for the movie .	Tesseract से बचकर निकलना काफी अच्छा था , films के लिए टोन set करना . 
MAY BE That was the reason for the film's success	मैं भई यही film की सफलता का कारण था 
Yeah , it was pretty surprising when Hawkey got enslaved so early in the movie though .	हाँ जब हौके movie में इतनी जल्दी enslave होगया तो वह काफी surprising था 
It refers to image capture skills	वह image capture skills के बारे में है 
PLEASE CHAT ME FAST	Please मुझे chat करो fast 
I'm not sure about that , but Nick Fury is always so cool . Too bad the bad guys always have to get one up on them .	मैं उसके बारे में सूर्य नहीं हूँ , but Nick Fury हमेशा बहुत cool रहता है . अफसोस बाद guys हमेशा एक कदम आगे रहते हैं 
It's their nature and it's impossible	वह उनका nature है और वह impossible है 
I guess so . I wonder what the deal is with the leader of those Chitauri ? Very mysterious .	I guess so . आखिर चितौरी के leader का क्या मामला है . काफी mysterious 
It was a mystery to the last	वह बिल्कुल last तक mystery था 
For this film at least I guess . It was pretty sad when Coulson died . Did that scene get you ?	At least is film के लिए I guess . जब Coulson मेरा काफी sad था . किया उस scene में feeling आई ? 
There is a glimpse of seeing	देखने की एक झलक थी 
Yeah , a t least it brought the Avengers together finally , no need for them to be fighting each other the whole time .	हाँ , at least सभी avengers को साथ ले आये , pure time आपस में लड़ने की कोई जरूरत नहीं थी 
There is no need	कोई ज़रूरत नहीं 
Absolutely . Beat on Loki , like the Hulk did . Who kicked the most butt do you think ?	absolutely loki को मारो जैसे हलक ने मारा था उसकी butt पर लात किसने मारी 
I think so	मुझे लगता है ऐसा 
I loved that Hulk saved Iron Man when he was falling , such a great moment .	मुझे अच्छा लगा कि हल्क ने Iron मान को बचाया गिरने से कितना अच्छा समय था वो 
I like Hulk too	मुझे भी Hulk पसंद है 
Yeah he's the best . It's great that the whole team had to work together to save the day in the end , don't you think ?	तुम्हें नहीं लगता वह सबसे अच्छा है , बोट बड़ी बात है कि पूरी team साथ में काम करती है दिन को आखिर में बचाने के लिए ? 
I knew and I thought	मुझे पता है मैं सोच रहा था 
There were certainly some high stakes with that nuclear missile heading for New York .	कुछ तो बोट बड़ा stake है use nuclear missile में जो new york की तरफ जा रही थी 
Hi there . What did you think of the movie ?	नमस्ते . अपने film के बारे में क्या सोचा ? 
Hello ?	नमस्ते ? 
Hi , I think it's great , it would be good as a B roadway musical	नमस्ते , मुझे लगता है कि यह बहुत अच्छा है , यह भी रोडवे sangeet के रूप में अच्छा होगा 
Why do you think it would be great as a Broadway musical ?	आपको क्या लगता है कि ब्रॉडआवे sangeet के रूप में यह बहुत अच्छा होगा ? 
mainly the singing but also since the story is about a journey .	मुख्य रूप से गायन लेकिन जब से कहानी एक यात्रा के बारे में है . 
What do you think ?	तुम क्या सोचते हो ? 
The music in movie is very catchy and enjoyable , so I agree .	films में संगीत बहुत ही आकर्षक और आनंददायक है , इसलिए मैं सहमत हूँ . 
Whose journey did you find most compelling ?	आपने किसकी यात्रा को सबसे अधिक सम्मोहक पाया ? 
Anna's journey	अन्ना की यात्रा 
Did you think the conclusion was satisfying for her character ?	क्या आपको लगता है कि निष्कर्ष उसके चरित्र के लिए संतोषजनक था ? 
