hinglish,label
batman vs superman,neutral
"Zack Snyder director हैं , 27 % Rotten Tomatoes , 4.9 / 10 .",neutral
लगता है बहुत popular नहीं है,negative
"but audience ने like किया , इसका cinema score भी है",positive
yes,neutral
huge divergence है profession critic की opinion और रुगलर movie देखने वालों के बीच,positive
मैंने तो कभी नहीं देखा है .,neutral
मुझे difference पाता है,neutral
मुझे तो believe ही नहीं होता कि उन्होंने Ben Affleck को Bataman बनाया .,neutral
"So Probably इसको कोई award नहीं मिला , but box office पर इसको बधिया करना था",neutral
बहुत strange choice थी यह .,neutral
हाँ तो यह 2016 में आया,neutral
मैं guess करता हूँ कि अगर ये accomplished फिर से हवा तो,neutral
probably ऐसे कुछ scores अब तक नहीं आया,neutral
Box office में तो इसका इतना important हवा की सभी critics को accept किया और blockbuster type का movies बनाया,positive
मुझे उस new story line को बिल्कुल पसंद नहीं आया,positive
वह तो इतना ruined हो गया,neutral
critics तो इतना बेकार निकला,neutral
batman तो billionaire हो गया,neutral
हाँ यार,positive
क्या वह हमेशा ऐसे ही हैं ?,neutral
But वह इस में focus बनाते हैं .,positive
"Batman मुझे पता है , humble था",negative
मैं characters के लिए intellectual development मेरे लिए problem थी . Khaaskar Lex Luthor से संबंधित,positive
क्या तुमने यह movie देखी है ?,neutral
हाँ मैंने देखी,neutral
तुम्हारे favourite part क्या है ?,positive
Lex Luthor सबसे बुरा villain था,negative
तुमने सोचा ?,neutral
"वह एक यादगार movie नहीं थी . जब मैं इसी देख रहा था तब मुझे popcorn की bucket लेने का खयाल आया , but तुम जल्दी ही भूल जाओगे बाद में",positive
hahaha,positive
क्या लोगों को पता था that they were super heroes ?,positive
Wonder Woman action scenes final act में best part था,positive
में Wonder Woman को love करता हूँ,positive
Wonder Woman उसके लिए सही नाम है cause I always wonder why they took so long to get her into the movies,positive
haha,positive
I agree ! ! !,neutral
मुझे good superhero movie अछि लगती है ! Iron Man अछि movie है,positive
hello,neutral
क्या तुमने move देखी है ?,neutral
है !,neutral
मैंने काफी years पहले देखी,positive
"हां , same !",neutral
और अभी recent में . में Robert Downey जार को एस Iron Man काफी enjoy करता हूं .,positive
मुझे believe नहीं होता कि इसे आये हुए 10 साल हो गए . That's crazy .,negative
"मुझे पता है , लगता है couple years ही हुए हैं",neutral
मुझे भी Robert Downey अच्छा लगता है,neutral
Time fly हो जाता है . haha,positive
क्या तुम इसे दोबारा देखोगे ?,neutral
Definitely !,neutral
क्या तुमने पहली बार इसको big screen पर देखा था ?,positive
मैं Rotten Tomatoes scores से normally agree करता हूँ . इस movie के लिए 94 काफी good था .,positive
मैंने इसे DVD पर देखा पर still यह मजेदार था,positive
Honestly ... confirm नहीं है ! है !,positive
"मैं critics पर पूरी तरह भरोसा नहीं करता , वह biased reviews देते हैं",neutral
क्या इस movie का sequel नहीं था ?,neutral
मैं पूरी तरह से उन पर भरोसा नहीं करता . मैंने कभी भी अपने आप को reviews के based पर movie देखने से नहीं रोका .,neutral
मुझे लगता है कि अपने से decide करना सबसे अच्छा है,positive
मैं अक्सर वो movie देखता हूं जिस में मेरी पसंद के actors होते हैं,negative
मेरा मानना ​ ​ है कि Iron man 2 और 3 था !,neutral
मैं भूल गया कि Jeff bridges इस cast में था ! !,neutral
इसी तरह ! !,neutral
मुझे वास्तव में इस movie का end पसंद आया . Khaasakar जब Tony Stark ने Iron Man के रूप में अपनी पहचान बताए .,neutral
मुझे कुछ याद नहीं हैं लेकिन पूरा movie तो enjoy कर रहा था,positive
तब shark तो स्टेन को defeat कर रहा था उस ऊपर वाली building से,positive
आप दूसरी बार इस movie को देखो और यादों को refresh करो,neutral
मैं भी कुछ ऐसे ही सोचता था,neutral
हाँ .. मैं ज़रूर देखूंगा,neutral
spring का break में देख लूंगा,neutral
perfect ! आप sequels भी folk करो .. ha ha,positive
"यह इन movies में यक हैं , आप अभी ही pick up करो और कभी भी watch कर सकते हैं",neutral
आप को तो यह background को पता ही नहीं,positive
Definitely ! मैं sequels भी देख लूँगा .. बहुत मजा आयेगा .. तो आपसे chat करने से अछे लगे ... rest of the day enjoy करो ..,positive
नमस्ते,neutral
नमस्ते,neutral
क्या आपने wonder woman film देखा है,neutral
हुआ,neutral
क्या यह film आप को पसंद है ?,neutral
मुझे यह film पसंद है,neutral
यह dc comic पर आधारित है . वेमर bros pictures ने वितरित किया है,neutral
हां वो एक famous DC Comics है,positive
अच्छा,positive
ये हैं German Army ( German Empire ),neutral
हाँ मैं जानता हूँ . यह term Deutsches हर modern German Army के लिए भी उसे हो हैं . Bundeswehr का land component,neutral
इसके अलावा Jenkin का role as a director use पहली women director बना देता है किसी भी live-action theatrically released comic book superhero film का,positive
तुम्हें वो movie पसंद आई ?,neutral
हाँ मुझे पसंद आई और मैंने इस movie को enjoy भी किया,positive
Oh कितनी बार देख चुकी हूँ ये movie ?,positive
मैं यह movie 2 बार देख चुका हूँ,neutral
तुम्हें movie की director पसंद आयी क्या ?,neutral
आप कहाँ से हैं ?,neutral
है मुझे यह film director पसंद है,neutral
है,neutral
क्या है,neutral
आप कहाँ से है,neutral
है मैं यहाँ हूँ,neutral
क्यों यह film पसंद है,neutral
है मुझे ये movie पसंद है,neutral
लेकिन my यह movie नहीं देखा,neutral
क्यूँ देख नहीं सकते हो ? तुम्हें पता है यह movie बहुत अछी है,positive
IS FILM में कौन सी भूमिका आप को अच्छा लगा,neutral
IS FILM मेमझे सब भूमिका अछी लगी,neutral
सच,positive
बेहतर,positive
बहुत अच्छा,positive
"है , क्या तुमने Avengers देखि ? The Avengers ? यह pretty good movie है , तुम्हें check करना चाहिए अगर तुम Robert Downey जोर , को like करते हो .",positive
"yes , मैं जानता हूँ and me यह movie like करता हूँ",neutral
"यह वास्तव में बहुत अच्छा है कि maark raphphaalo ने broos bainar / द हल्क के रूप में क्या किया , जिससे वह इतना शांत हो गया कि आप ज्वालामुखी बनाने के लिए तैयार नहीं हैं ?",positive
हां मुझे ऐसा लगता है,neutral
"मैं हमेशा एक बड़ा Joss Whedon prashansak नहीं हूँ , लेकिन उन्होंने teem की मूल कहानी को मसाला देने के लिए हास्य के साथ अच्छा काम किया . क्या आप आश्चर्यचकित थी कि इसने कई पात्रों के साथ काम किया ?",positive
"सख्ती से , या उसके मुख्य क्षमता हो सकती है",neutral
